"V1","V2","V3","V4","V5","V6"
"0.352","-2.772","3.029","-2.861","1.712","-4.300"
"3.465","-5.310","2.140","-4.252","3.019","-2.752"
"3.709","-5.577","2.299","-3.840","2.759","-3.087"
"0.952","-2.369","3.093","-3.227","2.460","-3.743"
"4.395","-6.323","2.022","-4.303","3.073","-2.720"
"2.679","-4.867","2.256","-4.203","2.821","-3.063"
"1.447","-3.111","2.675","-3.418","2.575","-3.495"
"6.300","-6.416","2.688","-3.394","3.625","-3.035"
"0.785","-3.045","3.673","-2.758","1.880","-5.055"
"2.580","-4.126","2.117","-4.074","3.382","-2.970"
"4.770","-5.798","3.293","-2.897","2.174","-3.597"
"0.474","-3.046","2.414","-4.080","2.784","-3.690"
"3.758","-6.220","2.923","-3.150","2.239","-4.475"
"3.457","-5.358","2.953","-2.811","2.217","-4.260"
"0.437","-2.810","2.277","-3.086","2.262","-3.828"
